Subfolder_new,Value,Subfolder,SSIM Score
20_20,0.2,20_20_0.2,0.962838821
20_20,0.25,20_20_0.25,0.944977643
20_20,0.3,20_20_0.3,0.924101729
20_20,0.33,20_20_0.33,0.907273975
20_20,0.4,20_20_0.4,0.863040719
20_30,0.2,20_30_0.2,0.963327228
20_30,0.25,20_30_0.25,0.945494519
20_30,0.3,20_30_0.3,0.924024304
20_30,0.33,20_30_0.33,0.907144206
20_30,0.4,20_30_0.4,0.862126492
20_60,0.2,20_60_0.2,0.963858985
20_60,0.25,20_60_0.25,0.945709522
20_60,0.3,20_60_0.3,0.924453797
20_60,0.33,20_60_0.33,0.90672136
20_60,0.4,20_60_0.4,0.862472727
20_90,0.2,20_90_0.2,0.963171157
20_90,0.25,20_90_0.25,0.946310289
20_90,0.3,20_90_0.3,0.923712035
20_90,0.33,20_90_0.33,0.905755658
20_90,0.4,20_90_0.4,0.870351871
30_20,0.2,30_20_0.2,0.963244789
30_20,0.25,30_20_0.25,0.944494743
30_20,0.3,30_20_0.3,0.923297792
30_20,0.33,30_20_0.33,0.907812607
30_20,0.4,30_20_0.4,0.863224063
30_30,0.2,30_30_0.2,0.963570822
30_30,0.25,30_30_0.25,0.94515298
30_30,0.3,30_30_0.3,0.923390078
30_30,0.33,30_30_0.33,0.907598033
30_30,0.4,30_30_0.4,0.862285764
30_60,0.2,30_60_0.2,0.963776659
30_60,0.25,30_60_0.25,0.945083117
30_60,0.3,30_60_0.3,0.923887721
30_60,0.33,30_60_0.33,0.907145071
30_60,0.4,30_60_0.4,0.862479263
30_90,0.2,30_90_0.2,0.963089274
30_90,0.25,30_90_0.25,0.945770096
30_90,0.3,30_90_0.3,0.923499605
30_90,0.33,30_90_0.33,0.905832657
30_90,0.4,30_90_0.4,0.870078205
60_20,0.2,60_20_0.2,0.961684507
60_20,0.25,60_20_0.25,0.945103551
60_20,0.3,60_20_0.3,0.923692576
60_20,0.33,60_20_0.33,0.907307716
60_20,0.4,60_20_0.4,0.862350601
60_30,0.2,60_30_0.2,0.962413928
60_30,0.25,60_30_0.25,0.946007606
60_30,0.3,60_30_0.3,0.923653008
60_30,0.33,60_30_0.33,0.90729774
60_30,0.4,60_30_0.4,0.861937382
60_60,0.2,60_60_0.2,0.96313872
60_60,0.25,60_60_0.25,0.9454851
60_60,0.3,60_60_0.3,0.924754213
60_60,0.33,60_60_0.33,0.907176206
60_60,0.4,60_60_0.4,0.862574036
60_90,0.2,60_90_0.2,0.963494907
60_90,0.25,60_90_0.25,0.945962619
60_90,0.3,60_90_0.3,0.923957123
60_90,0.33,60_90_0.33,0.906493093
60_90,0.4,60_90_0.4,0.869883194
90_20,0.2,90_20_0.2,0.962938324
90_20,0.25,90_20_0.25,0.946208974
90_20,0.3,90_20_0.3,0.924541939
90_20,0.33,90_20_0.33,0.908312677
90_20,0.4,90_20_0.4,0.86704651
90_30,0.2,90_30_0.2,0.963785819
90_30,0.25,90_30_0.25,0.946518163
90_30,0.3,90_30_0.3,0.924492445
90_30,0.33,90_30_0.33,0.907980547
90_30,0.4,90_30_0.4,0.866982458
90_60,0.2,90_60_0.2,0.963110345
90_60,0.25,90_60_0.25,0.944999182
90_60,0.3,90_60_0.3,0.925218336
90_60,0.33,90_60_0.33,0.907750478
90_60,0.4,90_60_0.4,0.868136161
90_90,0.2,90_90_0.2,0.963776328
90_90,0.25,90_90_0.25,0.944963921
90_90,0.3,90_90_0.3,0.924123964
90_90,0.33,90_90_0.33,0.907081256
90_90,0.4,90_90_0.4,0.875736471